name,rating,reviews,category,hq,no_of_branches,salary,no_of_interviews,jobs
Renata Precision Components,3.7,196,Industrial Machinery ,Pune,9,1k,12,12
Bharat Institutions,3.8,196,Education & Training ,Hyderabad / Secunderabad,7,175,4,--
SAMCO Securities,3.9,196,Financial Services ,Mumbai,11,830,85,--
Massmutual Global Business Services,3.9,197,IT Services & Consulting ,Hyderabad / Secunderabad,2,1.3k,6,1
Amelia,3.3,195,,Bangalore / Bengaluru,5,857,15,1
Praxis home Retail,4.1,195,Retail ,Mumbai,28,836,5,4
Wanbury,3.3,195,Pharma ,Mumbai,29,773,6,4
STMicroelectronics,4.1,195,Semiconductors ,Noida,7,1.1k,22,5
Anglo-Eastern Ship Management,4.0,195,Ports & Shipping ,Mumbai,14,527,15,4
Raksha TPA,4.1,195,Insurance ,Faridabad,21,777,6,1
Praxis home Retail,4.1,195,Retail ,Mumbai,28,836,5,4
Anglo-Eastern Ship Management,4.0,195,Ports & Shipping ,Mumbai,14,527,15,4
Scyo Decision Services,4.6,195,Analytics & KPO ,Chennai,2,282,23,1
OnMobile Global,3.5,195,Telecom ,Bangalore / Bengaluru,14,1.4k,16,1
Fragomen Immigration Services,3.7,195,Travel & Tourism ,Kochi,11,881,17,3
PMEA Solar Tech Solutions,3.9,195,,Nashik,14,935,13,3
Ascendum KPS,3.5,195,,Ahmedabad,10,856,25,--
Root Industries,4.1,194,Auto Components ,Coimbatore,16,1.1k,8,54
HEG,3.7,195,Semiconductors ,Bhopal,9,834,17,--
Umedica Laboratories,3.5,195,Pharma ,Vapi,8,1.1k,10,3
Red FM 93.5,3.8,195,Broadcasting ,Bangalore / Bengaluru,48,766,7,--
Pinnacle Industries,4.0,195,Auto Components ,Indore,11,1k,13,5
Jindal Worldwide,3.4,195,Fashion & Textile ,Ahmedabad,4,958,10,2
Chhatrapati Shivaji International Airport,3.8,195,Real Estate ,Mumbai,9,1.1k,9,--
Man Industries,3.7,195,Building Material ,Mumbai,14,992,11,9
Puropale Creations & IT Solutions,4.8,194,IT Services & Consulting ,Hyderabad / Secunderabad,1,16,2,--
Development Consultants,3.4,194,IT Services & Consulting ,Kolkata,15,565,10,--
Vidya Mandir Classes,3.7,194,EdTech ,New Delhi,37,842,5,--
Tbea Energy,3.8,194,Electrical Equipment ,Vadodara,17,905,13,4
Lokesh Machines,3.6,194,Industrial Machinery ,Hyderabad / Secunderabad,11,801,12,12
Chitkara University,4.0,194,,Chandigarh,7,676,15,13
Bristol-Myers Squibb,3.6,194,Pharma ,Hyderabad / Secunderabad,14,1.2k,29,104
Country Inns & Suites,3.9,194,Hospitality ,New Delhi,24,642,6,--
Synthite Industries,4.1,194,Food Processing ,Kochi,16,755,8,10
Zivame.com,3.6,194,,Bangalore / Bengaluru,29,974,10,1
Beri Udyog,4.0,194,Industrial Machinery ,Karnal,16,771,15,7
SevenMentor,4.3,194,Education & Training ,Pune,2,415,41,--
Daffodil Software,3.4,194,IT Services & Consulting ,Gurgaon / Gurugram,6,1.5k,27,1
Dish Infra Services,3.2,194,Telecom ,Noida,68,538,7,--
Peps Industries,3.9,194,Furniture & Furnishing ,Coimbatore,47,670,13,--
KisanKraft Machine Tools,3.3,194,Industrial Machinery ,Bangalore / Bengaluru,20,738,12,2
Kwality Pharmaceuticals,3.8,194,Pharma ,Amritsar,8,801,20,--
Steelman Telecom,3.8,194,,Kolkata,42,638,7,--
Weikfield Foods,3.7,194,Food Processing ,Pune,41,696,8,8
Bharathi Cement,4.0,194,Building Material ,Kadapa,31,681,3,3
Eternis Fine Chemicals,3.6,194,Chemicals ,Pune,8,1k,17,--
Pure & Cure Healthcare,3.9,196,Pharma ,Haridwar,10,613,7,--
Naga,3.6,194,Food Processing ,Dindigul,20,1.2k,11,--
Futurz Staffing Solutions,3.6,194,Recruitment ,Mumbai,41,762,18,--
Sun Vacuum Formers,4.0,194,Auto Components ,Gurgaon / Gurugram,8,765,17,--
Promea Therapeutics,4.4,194,Medical Equipment ,Hyderabad / Secunderabad,5,441,16,1
Sankey Solutions,4.1,194,IT Services & Consulting ,Mumbai,5,607,24,4
Ziff Davis Performance Marketing,3.6,194,Marketing & Advertising ,Pune,3,766,4,7
Antara Senior Care,3.4,194,,Gurgaon / Gurugram,12,798,27,18
Supreme Treon,4.1,193,Auto Components ,Pune,26,854,12,--
ReGen Powertech,3.7,193,Power ,Chennai,20,442,8,--
Dalmia-OCL,4.0,193,Building Material ,Rourkela,31,580,8,--
AYN InfoTech,4.5,193,IT Services & Consulting ,Pune,12,192,--,--
Orange Retail Finance,3.9,193,Financial Services ,Chennai,52,617,5,--
Amber,4.0,193,Internet ,Pune,7,590,22,16
Omprime Technology Private Limited,3.8,193,IT Services & Consulting ,Gurgaon / Gurugram,6,254,16,6
Aneja Associates,3.3,193,Accounting & Auditing ,Mumbai,10,786,16,2
Beumer Group,3.7,193,Industrial Machinery ,Gurgaon / Gurugram,18,848,17,11
RAXA,4.4,193,Law Enforcement & Security ,New Delhi,26,405,3,1
Zydus Hospira Oncology,4.3,193,,Ahmedabad,4,688,6,--
Vedika Credit Capital,3.6,193,NBFC ,Ranchi,46,541,3,1
Microlink Solutions,4.0,193,IT Services & Consulting ,Ahmedabad,29,714,10,4
Blowhorn,3.5,193,Logistics ,Bangalore / Bengaluru,16,571,7,--
Blue Cross Laboratories,4.0,193,Pharma ,Mumbai,47,598,12,--
MKCL,3.6,193,Education & Training ,Pune,27,991,15,--
Paramatrix Technologies,4.3,193,Software Product ,Mumbai,4,519,12,17
NIELIT,4.0,193,Education & Training ,New Delhi,45,642,14,--
NKC Projects,3.9,194,Engineering & Construction ,Gurgaon / Gurugram,23,923,11,--
RateGain,3.7,193,IT Services & Consulting ,Noida,7,1.3k,20,36
Prakash Industries,3.6,193,Metals & Mining ,Champa,35,893,4,--
ExcelSoft Technologies,3.4,193,IT Services & Consulting ,Mysuru / Mysore,4,1.5k,20,19
Tci Freight,3.9,193,Logistics ,Gurgaon / Gurugram,41,751,13,1
Himedia Laboratories,3.5,193,Biotechnology ,Mumbai,15,1k,9,1
CPM International,3.9,193,Recruitment ,New Delhi,44,431,16,--
VisionTek,3.7,193,Telecom ,Hyderabad / Secunderabad,26,807,12,1
Girnar Care,3.3,193,BPO ,Jaipur,16,704,16,--
Colourtex,3.7,194,Chemicals ,Surat,11,931,10,--
Selectsys,3.6,193,,Hyderabad / Secunderabad,1,1.1k,19,83
Zifo RnD Solutions,3.7,193,IT Services & Consulting ,Chennai,2,1k,65,--
Indo Rama Synthetics (i),3.4,193,Fashion & Textile ,Nagpur,10,836,12,--
Busy Infotech,3.9,193,Software Product ,New Delhi,27,718,13,17
Cholamandalam Securities,3.4,192,Investment Banking / Venture Capital / Private Equity ,Chennai,77,669,7,3
Dr Mohan's Diabetes Specialities Centre,3.8,193,Healthcare ,Chennai,35,628,17,5
Interocean Group,4.3,193,Ports & Shipping ,New Delhi,16,249,6,5
SRR Projects,3.9,194,Engineering & Construction ,Hyderabad / Secunderabad,19,680,15,--
Hippo Stores,3.4,193,Retail ,New Delhi,15,599,13,--
Riddhi Corporate Services,3.7,193,IT Services & Consulting ,Ahmedabad,43,679,11,--
Moreish Food,3.4,193,Food Processing ,Kolkata,24,493,20,12
Agilus Diagnostics,4.0,193,,Mumbai,55,647,17,1
Little Millennium,3.7,193,EdTech ,Pune,38,618,14,7
Go Speedy Go,4.6,192,Automobile ,Bhubaneswar,12,96,16,1
Volksoft Technologies,4.3,191,Software Product ,Hyderabad / Secunderabad,2,156,4,--
All India Radio,4.3,193,Broadcasting ,New Delhi,77,609,9,--
Mol Information Processing Services India,3.7,192,IT Services & Consulting ,Hyderabad / Secunderabad,6,800,8,--
COWI,4.0,192,Engineering & Construction ,Gurgaon / Gurugram,4,624,9,3
Quest Diagnostics,4.2,192,Healthcare ,Hyderabad / Secunderabad,11,863,8,36
Spectrum Consultants,2.7,192,,Pune,13,886,27,34
SMS Pharmaceuticals,3.5,192,Pharma ,Hyderabad / Secunderabad,5,782,14,--
Mold-Tek Technologies,3.4,192,IT Services & Consulting ,Hyderabad / Secunderabad,11,906,12,6
Career Launcher,3.7,192,Education & Training ,New Delhi,40,1k,6,8
Honasa Consumer,3.6,192,Beauty & Personal Care ,Gurgaon / Gurugram,35,725,18,5
Hartek Group,3.8,192,Engineering & Construction ,Mohali,18,634,16,22
Moody's,4.0,192,Analytics & KPO ,Bangalore / Bengaluru,7,1.6k,24,10
Hi Tech Informatics,3.9,192,IT Services & Consulting ,Mumbai,45,708,11,1
Kanoria Chemicals & Industries,3.8,192,Chemicals ,Ankleshwar,14,855,12,--
Quest Diagnostics,4.2,192,Healthcare ,Hyderabad / Secunderabad,11,863,8,36
Precision Group,3.5,192,Industrial Machinery ,Chennai,39,1.4k,10,4
Spacewood,3.6,192,Furniture & Furnishing ,Nagpur,19,1.2k,7,2
Patton International,3.7,192,Iron & Steel ,Kolkata,4,878,13,--
Alghanim International,4.1,192,Engineering & Construction ,Kuwait City,12,585,6,4
Absolute Barbecues,4.0,192,Hospitality ,Hyderabad / Secunderabad,20,800,9,--
Crimson Interactive,2.8,192,Content Development ,Mumbai,4,1.1k,19,17
Balasore Alloys,3.8,192,Metals & Mining ,Balasore,14,680,13,6
GLA University,3.8,192,Education & Training ,Mathura,12,766,15,5
Anlage Infotech,3.4,192,IT Services & Consulting ,Bangalore / Bengaluru,15,715,17,140
Bharat Oman Refineries,3.9,191,Oil & Gas ,Bina,14,815,8,--
Merkle Sokrati,3.8,191,Marketing & Advertising ,Pune,2,1.5k,31,--
Nuance Transcription Services,4.2,191,IT Services & Consulting ,Bangalore / Bengaluru,9,577,1,--
South Eastern Coalfields,4.3,191,Metals & Mining ,Bilaspur,25,287,8,--
Ushodaya Enterprises,4.0,192,FMCG ,Hyderabad / Secunderabad,28,755,6,10
GKC Projects,4.2,191,Engineering & Construction ,Hyderabad / Secunderabad,25,438,--,--
IFB Automotive,3.8,191,Auto Components ,Bangalore / Bengaluru,16,791,4,--
Rays Power Infra,4.0,191,Power ,Jaipur,26,600,19,10
RLabs Enterprise Services,3.2,191,Recruitment ,Bangalore / Bengaluru,12,1.4k,21,--
Q3 Technologies,3.5,191,IT Services & Consulting ,Gurgaon / Gurugram,10,1.6k,26,--
Matrix ComSec,3.6,191,Law Enforcement & Security ,Vadodara,10,1.3k,18,34
Infosearch BPO Services,4.2,191,BPO ,Chennai,5,471,12,8
Arkade Group,3.9,191,Real Estate ,Mumbai,5,256,25,13
KPC Projects,4.0,191,Engineering & Construction ,Hyderabad / Secunderabad,24,762,20,1
Rotostat Services,3.9,191,Industrial Machinery ,Mumbai,29,757,16,--
Special Technical Services,4.1,191,Oil & Gas ,Muscat,15,566,11,--
Cummins Generator Technologies,4.4,191,Industrial Machinery ,Pune,18,717,10,--
Gensol Engineering,3.8,191,Power ,Ahmedabad,21,744,15,--
Ncc Urban Infrastructure,4.0,191,Engineering & Construction ,Hyderabad / Secunderabad,23,808,10,3
eligarf Technologies,4.1,191,Emerging Technologies ,Pune,2,204,12,2
C DOT,3.7,191,Telecom ,New Delhi,12,1.1k,29,--
ITCube Solutions,3.0,191,IT Services & Consulting ,Pune,7,988,14,4
Numerator,3.9,191,,Vadodara,3,1k,25,60
BPO+,4.3,191,BPO ,New Delhi,46,1.8k,43,--
Rustomjee Group,3.8,191,Real Estate ,Mumbai,5,1.1k,19,1
Manipal Business Solutions,3.4,191,,Gurgaon / Gurugram,55,712,12,1
Medgenome Labs,3.6,191,Biotechnology ,Bangalore / Bengaluru,17,919,18,3
Albert David,3.6,191,Pharma ,Kolkata,35,525,15,--
AGILE AIRPORT SERVICES,3.8,191,Aviation ,New Delhi,33,393,13,--
JAY JAY MILLS,4.2,191,Fashion & Textile ,Erode,13,709,15,--
Pahal Financial Services,4.2,191,NBFC ,Ahmedabad,75,681,11,3
Akbar Travels,3.5,191,Travel & Tourism ,Mumbai,30,974,10,3
Pratibha Industries,4.5,190,Engineering & Construction ,New Delhi,21,433,3,--
TALENTEDGE,3.2,190,EdTech ,Pune,11,987,20,--
DST Worldwide Services,4.0,190,,Hyderabad / Secunderabad,5,1k,8,--
Sel Manufacturing Co.,3.7,190,Fashion & Textile ,Ludhiana,14,673,8,--
Anand CY Myutec Automotive,3.8,190,Auto Components ,Gurgaon / Gurugram,8,697,8,--
AWC Software,3.8,191,IT Services & Consulting ,Noida,15,1.4k,13,9
Khanna Paper Mills,4.0,191,Pulp & Paper ,Amritsar,14,796,10,--
SSEM,3.5,191,Industrial Machinery ,Riyadh,20,350,9,--
BPL Medical Technologies,3.8,190,Medical Equipment ,Bangalore / Bengaluru,28,875,11,--
Wave Infratech,3.8,190,Real Estate ,Noida,8,1k,18,2
Jyoti Structures,3.8,190,Power ,Mumbai,38,501,13,3
Zinnov Management Consulting,3.4,190,Management Consulting ,Bangalore / Bengaluru,13,1.4k,25,49
Meditab Software,3.1,190,Software Product ,Ahmedabad,3,1.2k,28,12
PIX Transmissions,3.6,190,Fashion & Textile ,Nagpur,9,846,10,4
MMTC-PAMP,3.4,190,Metals & Mining ,Gurgaon / Gurugram,18,767,12,5
Service Master Clean,4.1,190,Facility Management Services ,New Delhi,45,691,14,--
UPS Supply Chain Solutions,3.7,190,Logistics ,Pune,14,1.1k,9,--
Marolix Technology Solutions,3.0,190,IT Services & Consulting ,Hyderabad / Secunderabad,4,1k,16,--
UGC Supply Chain Solutions,3.2,190,Logistics ,Pune,22,937,6,--
E Pack Polymers,3.8,190,Packaging ,Greater Noida,17,821,10,9
Lenexis Foodworks,3.6,190,Hospitality ,Mumbai,26,736,18,3
Flair Writing Instruments,3.9,190,Other ,Mumbai,43,790,12,--
Bosch Power Tools,4.3,190,Industrial Machinery ,Chennai,38,809,13,--
Soothe Healthcare,3.4,190,Healthcare ,Noida,43,782,12,2
Loconav,2.9,189,Software Product ,Gurgaon / Gurugram,9,1.2k,13,--
ILS Hospitals,3.6,189,Healthcare ,Kolkata,9,595,8,5
IIHT,4.0,189,,Bangalore / Bengaluru,29,856,3,--
Valueonshore Advisors,3.7,189,Management Consulting ,Gurgaon / Gurugram,5,514,11,12
Innova Captab,4.0,189,Pharma ,Baddi,13,680,7,--
Symphoni HR,4.2,189,Recruitment ,Mumbai,1,312,22,4
Alpha Design Technologies,3.7,189,Defence & Aerospace ,Bangalore / Bengaluru,12,1.2k,15,--
Mashreq Bank,3.2,189,Banking ,Bangalore / Bengaluru,11,1.2k,9,--
Moople Academy,4.2,189,Education & Training ,Kolkata,9,117,25,3
Siemens PLM Software,4.1,189,Industrial Automation ,Pune,11,1.6k,12,--
Torque Pharmaceuticals,3.7,189,Pharma ,Chandigarh,31,707,10,2
Kushal's Fashion Jewellery,3.8,189,Jewellery ,Bangalore / Bengaluru,21,571,11,98
ACT Plast Paints,4.0,189,Chemicals ,Chennai,12,762,10,2
FreshersNow,4.0,189,,Hyderabad / Secunderabad,38,183,50,--
MBL Infrastructure Limited,3.9,189,Engineering & Construction ,New Delhi,22,508,12,23
Sutlej Textiles and Industries,3.6,189,Fashion & Textile ,Mumbai,15,843,6,2
Biostadt,4.3,189,,Mumbai,51,549,10,3
ACT Plast Paints,4.0,189,Chemicals ,Chennai,12,762,10,2
RSH Global,4.1,189,FMCG ,Kolkata,44,678,8,--
Niit Foundation,4.0,189,Education & Training ,New Delhi,37,611,12,16
Kushal's Fashion Jewellery,3.8,189,Jewellery ,Bangalore / Bengaluru,21,571,11,98
Torque Pharmaceuticals,3.7,189,Pharma ,Chandigarh,31,707,10,2
Amentum,4.0,189,Defence & Aerospace ,Bangalore / Bengaluru,22,246,7,7
Avis,3.8,189,Internet ,Gurgaon / Gurugram,19,674,7,--
Awfis,3.4,189,Real Estate ,New Delhi,16,988,18,8
Empower,4.0,188,Insurance ,Bangalore / Bengaluru,8,1.8k,14,3
Mitsubishi Heavy Industries,4.2,188,Industrial Machinery ,Mysuru / Mysore,30,783,4,--
Simplify Healthcare,2.6,188,Software Product ,Pune,3,1.5k,27,21
Cerium Systems,2.8,188,IT Services & Consulting ,Bangalore / Bengaluru,7,1.2k,29,--
SmartStream Technologies,3.4,188,IT Services & Consulting ,Bangalore / Bengaluru,6,1.5k,15,20
Shanthi Gears,3.4,188,Auto Components ,Coimbatore,12,1.1k,19,--
Shriram Fortune Solutions,3.9,188,Financial Services ,Gurgaon / Gurugram,90,461,9,--
Moder Solutions,3.4,188,Financial Services ,Bangalore / Bengaluru,5,997,20,37
First Citizens India,3.9,188,Financial Services ,Bangalore / Bengaluru,3,1.4k,17,--
SITA,3.9,188,IT Services & Consulting ,Gurgaon / Gurugram,27,1k,27,22
Government Medical College,4.0,188,Education & Training ,Srinagar,61,782,6,--
CyberSWIFT Infotech,3.4,188,IT Services & Consulting ,Kolkata,8,404,10,5
Epicor Software Corporation,3.5,188,IT Services & Consulting ,Bangalore / Bengaluru,3,1.7k,22,25
Navitas Life Sciences,3.4,188,Clinical Research ,Chennai,7,1.3k,14,15
Radius Global Solutions,2.9,189,BPO ,Mumbai,6,912,13,--
Gujarat Narmada Valley Fertilizers & Chemicals,4.3,188,Agro Chemicals ,Bharuch,14,785,9,--
TomTom,4.1,189,IT Services & Consulting ,Pune,2,920,14,--
MASAI School,4.1,188,EdTech ,Bangalore / Bengaluru,7,646,18,37
Satyesh Brinechem,3.3,188,Chemicals ,Bhuj,11,808,27,1
Sneha Farms,4.0,188,Agriculture ,Hyderabad / Secunderabad,19,791,12,8
ECOS (I) MOBILITY & HOSPITALITY,4.2,188,Sports & Recreation ,New Delhi,12,465,6,--
Scc Infrastructure,3.6,188,Engineering & Construction ,Ahmedabad,28,583,16,5
Network Intelligence India,3.4,188,Law Enforcement & Security ,Mumbai,8,1.3k,16,1
Consilio,3.8,188,Legal ,Bangalore / Bengaluru,7,1.1k,23,21
John Deere Financial,4.3,188,NBFC ,Pune,49,553,13,--
Enser Communications,3.0,188,IT Services & Consulting ,Gurgaon / Gurugram,14,667,13,7
Knoldus Inc,3.9,188,IT Services & Consulting ,Noida,3,537,20,5
WovVTech,4.2,188,Software Product ,Vadodara,9,380,12,32
City Montessori School,3.6,188,Education & Training ,Lucknow,5,646,6,8
Mvs Acmei Technologies,4.0,188,Industrial Machinery ,Hyderabad / Secunderabad,31,609,14,3
ARB Bearings,3.6,188,Auto Components ,New Delhi,17,738,10,1
Andhra Paper,3.7,188,Pulp & Paper ,Rajahmundry,14,957,20,4
Tide - Business Management Platform,4.0,188,FinTech ,Hyderabad / Secunderabad,10,974,35,62
Frontizo Business Services,3.3,188,BPO ,Chandigarh,10,581,21,--
Yatharth Hospital,3.8,188,,Noida,9,804,11,4
Keolis Hyderabad Metro,4.1,188,Urban Transport ,Hyderabad / Secunderabad,3,830,11,--
M*Modal,3.7,187,IT Services & Consulting ,Bangalore / Bengaluru,10,503,2,--
Ashv Finance,4.0,187,,Mumbai,33,704,10,--
JNET Technologies,3.9,187,IT Services & Consulting ,Hyderabad / Secunderabad,23,722,13,--
Rama University,3.4,187,,Kanpur,12,517,12,161
Cogent,3.3,187,IT Services & Consulting ,Bangalore / Bengaluru,25,772,19,--
HTL,3.7,187,Telecom ,Chennai,10,1.1k,7,3
Steril Gene Life Sciences,3.9,187,Pharma ,Pondicherry / Puducherry,7,924,15,--
Jm Frictech,3.5,188,Industrial Machinery ,Chennai,8,1k,13,2
EagleBurgmann,4.1,187,Industrial Machinery ,Pune,18,985,15,--
ASSA ABLOY,3.2,187,Real Estate ,Mumbai,32,899,20,6
SAVA Healthcare,3.5,187,Pharma ,Pune,12,723,14,4
TEOCO Software,3.7,187,IT Services & Consulting ,Kolkata,8,876,14,2
Lubi Industries Llp,4.3,187,Industrial Machinery ,Ahmedabad,33,909,9,2
Govt. Medical College,4.1,187,Education & Training ,Chandigarh,69,817,12,--
Bilt Graphic Paper Products,3.8,187,Pulp & Paper ,Pune,10,728,11,7
Experis,3.0,187,,Bangalore / Bengaluru,15,1.3k,14,--
YES SECURITIES,3.8,187,Investment Banking / Venture Capital / Private Equity ,Mumbai,35,1.2k,17,83
Skechers,4.0,187,Fashion & Textile ,Mumbai,51,704,11,5
Rudrabhishek Enterprises,3.5,187,Urban Transport ,Noida,29,758,11,24
VRC Constructions India,3.8,187,Engineering & Construction ,New Delhi,35,639,9,--
Accord Synergy,3.5,187,Hardware & Networking ,Vadodara,27,430,9,4
Citylife Retail,3.9,186,Retail ,Kolkata,47,389,7,--
Ican BPO,4.4,186,BPO ,Thane,3,246,3,--
Doubletree By Hilton,4.1,186,Hospitality ,Gurgaon / Gurugram,21,559,6,--
Chrysalis High,3.8,186,,Bangalore / Bengaluru,2,648,15,15
Rajesh Motors,3.9,186,Automobile ,Jaipur,27,611,6,--
Petronas Lubricants,3.4,187,Petrochemicals ,Mumbai,33,647,18,7
TLC DigiTech Private Limited,3.0,186,Hospitality ,New Delhi,21,766,12,10
SIAC SKH India Cabs Manufacturing,3.8,186,Industrial Machinery ,Faridabad,9,718,20,--
Parijat Industries (India),4.0,186,Chemicals ,New Delhi,35,712,9,5
Upstox,3.5,186,FinTech ,Mumbai,19,1.3k,39,19
Airblack,3.9,186,EdTech ,Gurgaon / Gurugram,7,218,17,9
Kazo Fashion,3.0,186,Fashion & Textile ,New Delhi,30,532,11,4
Ramoji Film City,4.1,186,Media & Entertainment ,Hyderabad / Secunderabad,11,601,8,--
Airblack,3.9,186,EdTech ,Gurgaon / Gurugram,7,218,17,9
Parijat Industries (India),4.0,186,Chemicals ,New Delhi,35,712,9,5
Sun Direct TV,3.9,186,Telecom ,Chennai,49,633,8,1
Jagsonpal Pharmaceuticals,3.7,186,Pharma ,New Delhi,41,605,13,7
Kazo Fashion,3.0,186,Fashion & Textile ,New Delhi,30,532,11,4
Sigma Freudenberg NOK,4.1,186,Auto Components ,Chennai,16,900,10,--
indiagold,4.3,187,FinTech ,Gurgaon / Gurugram,14,487,26,12
Hyundai Motor India Engineering,3.9,186,IT Services & Consulting ,Hyderabad / Secunderabad,9,1.1k,8,--
JM FINANCIAL HOME LOANS,4.1,186,,Mumbai,66,540,6,2
Sendan International Co,2.2,186,Engineering & Construction ,Al Jubail,17,511,14,--
20Cube Logistics,3.8,186,Logistics ,Chennai,26,1k,19,3
Grb Dairy Foods,3.6,185,Food Processing ,Hosur,25,895,10,--
Leap Finance,3.6,186,Financial Services ,Bangalore / Bengaluru,13,874,66,69
Odisha Power Generation Corporation,3.8,186,Oil & Gas ,Jharsuguda,10,682,8,--
Smart Energy Water,2.9,187,IT Services & Consulting ,Noida,4,1.5k,23,1
Towell Engineering Group,3.8,185,Engineering & Construction ,Muscat,15,489,9,--
Bo International,3.9,185,Beauty & Personal Care ,New Delhi,2,422,25,18
Sanmar Group,3.6,185,Chemicals ,Chennai,17,783,22,--
Al-Futtaim Group,4.1,185,Retail ,Dubai,18,486,11,--
NSL Textiles,4.1,185,Fashion & Textile ,Guntur,15,613,10,--
Energy Efficiency Services,3.8,185,Power ,New Delhi,32,793,12,--
AGIO Pharmaceuticals,2.6,185,Pharma ,Pune,8,794,12,4
Pathfinder Business Analysis,3.4,185,Management Consulting ,Coimbatore,13,1.1k,14,21
Malayala Manorama,3.8,185,Printing & Publishing ,Kottayam,22,1k,12,7
Dayal Fertilizers,4.1,185,Agro Chemicals ,Meerut,47,422,11,--
Pacific Cyber Technology,3.5,185,Electronics Manufacturing ,Daman & Diu,8,793,8,19
Integrated Personnel Services Limited,4.0,185,Recruitment ,Mumbai,32,841,13,16
CapitalVia,4.1,185,Analytics & KPO ,Indore,8,363,44,2
Veolia,4.0,185,Waste Management ,Bangalore / Bengaluru,38,820,13,--
Tricon Infra Buildtech pvt.Ltd,3.0,185,Engineering & Construction ,Pune,7,738,15,1
La Renon Healthcare,4.2,185,Pharma ,Ahmedabad,43,572,11,4
Petrocon Engineers & Consultants,3.4,185,Engineering & Construction ,Hyderabad / Secunderabad,8,768,11,78
Aditi Consulting,3.5,185,IT Services & Consulting ,Bangalore / Bengaluru,8,886,12,20
SGB By BrandSafway,3.8,185,Engineering & Construction ,Hyderabad / Secunderabad,28,579,16,--
REI Systems,4.0,185,IT Services & Consulting ,Pune,,412,27,5
CloudMoyo,4.0,185,Software Product ,Pune,1,1.2k,8,14
Sahajanand Laser Technology,3.3,185,Industrial Machinery ,Gandhinagar,21,832,17,26
SBL,3.7,185,IT Services & Consulting ,New Delhi,26,776,5,2
Continental Hospitals,3.9,185,Healthcare ,Hyderabad / Secunderabad,3,795,13,11
Texspin Bearings,4.0,185,Auto Components ,Ahmedabad,16,1.1k,16,--
Verticurl,3.1,185,,Coimbatore,6,1.8k,10,8
Tokai Imperial Rubber India,4.1,185,Industrial Machinery ,Faridabad,10,805,14,--
Aia Engineering,4.0,185,Industrial Machinery ,Ahmedabad,5,1k,15,2
Jay Ushin,3.9,185,Auto Components ,Gurgaon / Gurugram,10,888,5,--
Tonglit Autogistic,3.8,186,Logistics ,Chennai,13,749,18,3
Wings Biotech,3.4,185,Pharma ,New Delhi,30,494,8,4
Vishay Components,4.2,185,Electronics Manufacturing ,Pune,7,753,12,5
SLAP,4.1,185,Management Consulting ,Anantapur,15,783,13,10
Bodal Chemicals,3.6,185,Chemicals ,Vadodara,16,1.1k,15,7
Fisdom,3.6,185,Financial Services ,Bangalore / Bengaluru,29,791,16,17
Rohan Motors,3.6,185,Automobile ,New Delhi,17,717,13,1
Abu Dhabi National Hotels,4.2,185,Hospitality ,Abu Dhabi,11,277,10,--
Skandhanshi Infra Projects,4.2,185,Real Estate ,Kurnool,8,841,13,7
Elsamex Maintenance Services,4.0,184,Facility Management Services ,Ahmedabad,41,554,9,--
Sarda Energy & Minerals,4.1,184,Iron & Steel ,Raipur,8,723,10,1
Ministry of Home Affairs,4.2,184,Government ,New Delhi,27,2k,4,1
Dunnhumby,3.9,184,Analytics & KPO ,Gurgaon / Gurugram,4,1.6k,31,31
Kopran,3.7,184,Pharma ,Mumbai,16,1.1k,9,3
Steadfast Medishield,4.0,184,Pharma ,Noida,14,388,17,1
Sarda Energy & Minerals,4.1,184,Iron & Steel ,Raipur,8,723,10,1
BMW Industries,3.6,184,Iron & Steel ,Kolkata,16,706,8,1
Kopran,3.7,184,Pharma ,Mumbai,16,1.1k,9,3
Ministry of Home Affairs,4.2,184,Government ,New Delhi,27,2k,4,1
Dunnhumby,3.9,184,Analytics & KPO ,Gurgaon / Gurugram,4,1.6k,31,31
Putzmeister Concrete Machines,3.5,184,Industrial Machinery ,New Delhi,26,870,17,54
SAS,4.1,184,IT Services & Consulting ,Pune,20,1.6k,19,34
Sapphire Software Solutions (India),4.5,184,IT Services & Consulting ,Ahmedabad,4,292,10,2
SCIO Management Solutions,4.2,184,IT Services & Consulting ,Chennai,3,672,18,--
Pilot Industries,3.7,184,Metals & Mining ,New Delhi,20,910,17,18
Maahi Milk Producer Company,4.1,184,Food Processing ,Rajkot,28,476,15,3
Qi Spine Clinic,3.3,184,Healthcare ,Mumbai,12,434,17,15
Empower Pragati,3.5,184,Education & Training ,New Delhi,53,504,12,10
Affine,3.3,184,IT Services & Consulting ,Bangalore / Bengaluru,4,1.3k,52,8
Kisna Diamonds - HK Jewels,3.8,184,Jewellery ,Mumbai,39,410,16,19
Decorpot,3.4,184,Architecture & Interior Design ,Bangalore / Bengaluru,13,781,21,41
DTC Projects,3.9,184,Real Estate ,Kolkata,8,546,19,29
Vensa Infrastructure,4.2,184,Real Estate ,Hyderabad / Secunderabad,20,654,17,2
ZKTeco Biometrics,2.9,184,Law Enforcement & Security ,Bangalore / Bengaluru,11,1.1k,23,--
ZeMoSo Technologies,3.5,184,IT Services & Consulting ,Hyderabad / Secunderabad,1,820,147,3
Echs Polyclinic,4.1,184,Healthcare ,New Delhi,90,398,10,--
