name,rating,reviews,category,hq,no_of_branches,salary,no_of_interviews,jobs
ICICI Lombard General Insurance Company,3.6,5.1k,Insurance ,Mumbai,297,18.9k,320,185
BigBasket,3.9,5.1k,Internet ,Bangalore / Bengaluru,129,17.6k,412,76
Bosch Global Software Technologies,3.8,5k,IT Services & Consulting ,Bangalore / Bengaluru,42,38.1k,365,3
Apollo Hospitals,4.0,5k,Healthcare ,Chennai,218,15.9k,424,69
UST,3.8,5k,IT Services & Consulting ,Bangalore / Bengaluru,48,38.4k,552,86
Citicorp,3.7,5k,Financial Services ,Pune,66,47.9k,595,--
Ashok Leyland,4.1,5k,Automobile ,Chennai,232,17.9k,281,1
Cyient,3.6,5k,IT Services & Consulting ,Hyderabad / Secunderabad,43,26.8k,311,86
Mahindra Finance,4.0,5k,NBFC ,Mumbai,700,11.6k,180,492
SMFG India Credit,3.9,4.9k,NBFC ,Mumbai,564,10.9k,182,127
Hero MotoCorp,4.0,4.9k,Automobile ,Gurgaon / Gurugram,347,15.1k,376,--
Manappuram Finance,3.9,4.9k,NBFC ,Bangalore / Bengaluru,594,8.8k,185,4
JustDial,3.5,4.8k,Internet ,Noida,210,15.4k,365,54
Swiggy,3.7,4.7k,Internet ,Bangalore / Bengaluru,219,21.5k,485,208
PolicyBazaar,3.7,4.7k,Internet ,Gurgaon / Gurugram,128,16.4k,495,626
Eviden,3.6,4.6k,IT Services & Consulting ,Pune,36,30.2k,310,45
SBI Cards & Payment Services,3.7,4.6k,Financial Services ,Gurgaon / Gurugram,411,15.8k,265,173
BNY,3.8,4.6k,Financial Services ,Pune,23,29.4k,371,72
vivo,4.1,4.6k,Consumer Electronics & Appliances ,Noida,401,12.9k,216,3
Kalpataru Projects International,4.2,4.6k,Engineering & Construction ,Mumbai,290,13.2k,289,--
IQVIA,3.8,4.6k,Clinical Research ,Bangalore / Bengaluru,61,29.2k,501,34
Atos,3.8,4.6k,IT Services & Consulting ,Pune,48,33.5k,396,188
CBRE,4.1,4.6k,Real Estate ,Hyderabad / Secunderabad,88,17.5k,310,54
TVS Motor,3.9,4.5k,Automobile ,Hosur,326,15.2k,355,65
Nagarro,3.9,4.5k,IT Services & Consulting ,Gurgaon / Gurugram,47,30.3k,812,222
Persistent Systems,3.6,4.5k,IT Services & Consulting ,Pune,41,41.9k,650,222
SBI Life Insurance Company,3.8,4.4k,Insurance ,Mumbai,611,11.4k,268,4
Home Credit Finance,4.0,4.4k,NBFC ,Gurgaon / Gurugram,128,9.7k,126,91
NTT Data,3.8,4.4k,IT Services & Consulting ,Bangalore / Bengaluru,75,32.5k,671,16
State Bank of India,3.9,4.4k,Banking ,Mumbai,568,10.8k,278,3
Amdocs,3.7,4.4k,Software Product ,Pune,21,36.3k,535,9
Schneider Electric,4.1,4.4k,Industrial Automation ,Bangalore / Bengaluru,116,22.9k,397,32
Nagarjuna Construction Company,4.1,4.4k,Engineering & Construction ,Hyderabad / Secunderabad,269,11.3k,370,19
Ecom Express,3.9,4.3k,Logistics ,Gurgaon / Gurugram,723,9.2k,233,--
JBM Group,4.0,4.3k,Auto Components ,Gurgaon / Gurugram,106,13.6k,318,43
Motilal Oswal Financial Services,3.8,4.3k,Financial Services ,Mumbai,166,13.1k,540,86
OPPO,3.9,4.3k,Consumer Electronics & Appliances ,Greater Noida,395,12.2k,235,16
Bosch,4.2,4.2k,Auto Components ,Bangalore / Bengaluru,118,20k,354,388
Hewlett Packard Enterprise,4.1,4.2k,IT Services & Consulting ,Bangalore / Bengaluru,97,26.2k,249,74
Dell,3.9,4.2k,Consumer Electronics & Appliances ,Bangalore / Bengaluru,112,27.9k,409,46
Piramal Capital Housing Finance,4.2,4.2k,NBFC ,Mumbai,371,9.7k,214,5
